SMILES,EA,IE
Cc1ccc(NC(=O)c2cccc([N+](=O)[O-])c2)o1,3.217658,5.813826
N#Cc1ccc(N2C(=O)c3ccccc3C2=O)cc1,2.916371,6.99547
O=C(Nc1ccccc1)c1ccc2c(c1)OCCO2,1.699343,6.12348
COCCOCCOc1ccc([N+](=O)[O-])cc1O,3.106631,6.636004
CCOC(=O)c1ccc(C(=O)OC(C)(C)C)cc1,2.435646,7.506154
COc1ccccc1C=CC(=O)N1CCCCC1=O,2.636729,6.424975
CCOC(=O)C1CCCN1C(=O)OC(C)(C)C,0.50477,6.866518
Cc1ccc(NC(=S)NCCCOC)cc1C,1.267856,5.799518
COC(=O)c1ccc(C(Cl)(Cl)Cl)cn1,3.75696,7.721325
COC(=O)c1ccc(C=NNc2ccccc2)cc1,2.32733,5.558053
